variant_id,gene,beta,SE,z,OR,p_value,position,ABF,PIP,cumPIP,credible95
v034,MYBPC3,0.21864433652070892,0.07848049763051444,2.7859703126512363,1.2443886143886072,0.005336775910084891,1,10.547706884582235,0.7184922082341055,0.7184922082341055,True
v079,CFTR,0.05828654240281284,0.05764958292379137,1.0110488133082158,1.0600186925003812,0.31199306742555266,8,0.44399549382038894,0.030244232826312407,0.7487364410604179,True
v055,HFE,0.04442581076670992,0.052974353902252136,0.8386286475278978,1.045427414375013,0.4016777296678864,10,0.35564705109016087,0.02422608419875883,0.7729625252591767,True
v030,PCSK9,0.03567615084171217,0.06166078091111458,0.578587398903367,1.0363201807230753,0.5628676093408577,6,0.3432771794898824,0.02338346916793657,0.7963459944271133,True
v044,TTN,0.00025333550065141327,0.07254858725846249,0.003491942575654535,1.0002533675927994,0.9972138385939284,2,0.3410030039617612,0.023228556122381602,0.8195745505494949,True
v021,PCSK9,-0.030264014603680382,0.06457851844615801,-0.46863903557826025,0.9701893555744262,0.6393276702283197,4,0.33939870540213934,0.0231192739791269,0.8426938245286218,True
v104,CYP2C19,0.03078232403855575,0.0637719982800713,0.4826934213879762,1.0312609987233234,0.6293134350040419,5,0.3376746682764534,0.02300183544437559,0.8656956599729975,True
v103,CYP2C19,0.008306418300146994,0.07056722420382208,0.11770929626132437,1.0083410123104035,0.9062980006416588,3,0.33478823182053413,0.022805216205157602,0.8885008761781551,True
v091,BRCA2,0.03219225518882605,0.060462476743603125,0.5324336170570776,1.0327160312362758,0.5944257071889063,7,0.32951004330971734,0.022445674803399845,0.910946550981555,True
v090,TTR,0.02804221180234468,0.04809374224857134,0.5830740235893724,1.0284390957730172,0.5598434697666116,14,0.2745622042206475,0.018702719611640953,0.9296492705931959,True
v107,CYP2C19,-0.01249599883528896,0.05391152452409559,-0.23178715396378585,0.9875817519632314,0.8167033350269761,9,0.2668679008923275,0.018178596496571414,0.9478278670897673,True
v006,LDLR,-0.017922800600908836,0.051504528419701705,-0.34798494716540185,0.9822368575266006,0.7278514882736739,11,0.26395616460438676,0.017980253874975063,0.9658081209647423,True
v086,TTR,-0.018414064395188518,0.04826867203396753,-0.38149100895566823,0.9817544386282622,0.7028389415299836,12,0.2513072916221626,0.01711863373515536,0.9829267546998977,False
v007,LDLR,-0.018978202439122075,0.04784689868659625,-0.3966443585702786,0.981200749792784,0.6916297366961457,13,0.2506409741542718,0.01707324530010228,0.9999999999999999,False
