gene,carrier_cases,carrier_controls,noncarrier_cases,noncarrier_controls,carrier_rate,odds_ratio,log2_odds_ratio,p_value
LDLR,0,0,393,2007,0.0,,2.3509644468971906,1.0
APOB,0,0,393,2007,0.0,,2.3509644468971906,1.0
PCSK9,0,0,393,2007,0.0,,2.3509644468971906,1.0
MYBPC3,0,0,393,2007,0.0,,2.3509644468971906,1.0
TTN,0,0,393,2007,0.0,,2.3509644468971906,1.0
HFE,0,1,393,2006,0.0004166666666666667,0.0,0.7652831145513527,1.0
GBA1,0,0,393,2007,0.0,,2.3509644468971906,1.0
CFTR,0,0,393,2007,0.0,,2.3509644468971906,1.0
TTR,0,0,393,2007,0.0,,2.3509644468971906,1.0
BRCA2,0,0,393,2007,0.0,,2.3509644468971906,1.0
CYP2C19,0,0,393,2007,0.0,,2.3509644468971906,1.0
HLAA,0,0,393,2007,0.0,,2.3509644468971906,1.0
