variant_id,gene,consequence,allele_frequency,CADD,REVEL,SpliceAI,constraint,priority_score,toy_acmg
v012,APOB,frameshift,2.5338625553341077e-06,33.19282761553341,0.07004225020891015,0.08971925189477935,0.72,0.9785228785222958,Likely pathogenic
v088,TTR,frameshift,2.022135236066668e-05,30.532175337472452,0.22481520886688394,0.06728059285475728,0.61,0.9698222080212564,"VUS, suspicious"
v097,BRCA2,frameshift,1.517720837963932e-06,34.18301715616406,0.3376418013645742,0.07453404669600543,0.99,0.9652628567573125,Likely pathogenic
v063,GBA1,splice_donor,7.328353740809005e-06,29.238297111777374,0.3277068209073742,0.9008447705294544,0.74,0.96025099840934,Likely pathogenic
v014,APOB,splice_donor,1.3975246214105628e-05,32.85083785046484,0.3097550526208217,0.9158955771296804,0.72,0.9597227315825629,Likely pathogenic
v029,PCSK9,frameshift,4.5000581904248875e-06,36.06757694807411,0.325069681387895,0.030015292791488443,0.58,0.9493832111279595,"VUS, suspicious"
v011,APOB,frameshift,5.784658177851765e-06,34.4561931896646,0.21302232681167943,0.15660096182852676,0.72,0.9402259362644578,Likely pathogenic
v040,MYBPC3,frameshift,1.8393174952403786e-05,30.96614161297708,0.569816054176712,0.007766279125547787,0.92,0.9302897842254041,Likely pathogenic
v116,HLAA,stop_gained,4.378358036042042e-06,24.710456619960265,0.20685992251809682,0.05696480685696699,0.4,0.8998712498605987,"VUS, suspicious"
v070,GBA1,frameshift,4.1531279686415676e-05,28.80134083200975,0.5768542738668653,0.05189246008846186,0.74,0.8958195922968422,Likely pathogenic
v065,GBA1,missense,1.9026014020086785e-05,24.056307285325722,0.6637577327651353,0.09296234332361833,0.74,0.8750616520917132,"VUS, suspicious"
v095,BRCA2,stop_gained,5.638332124209312e-06,26.17646937208522,0.058786644595395954,0.0010534355424149531,0.99,0.8736308752425116,Likely pathogenic
